U1,Administrador,Principal,admin,admin,ADMIN
U2,Carlos,Ortega,carlos.ortega@outlook.com,carlos123,CLIENTE
U3,Naia,Castellanos,naia.castellanos@hotmail.com,naia123,CLIENTE
U4,Joel,Molina,joel.molina@gmail.com,joel123,CLIENTE
U5,Daniela,Ruiz,daniela.ruiz@gmail.com,dani123,CLIENTE
U6,Mateo,Vega,mateo.vega@gmail.com,mateo123,CLIENTE
U7,Sofía,Paredes,sofia.paredes@gmail.com,sofia123,CLIENTE
U8,Marcos,López,marcos.lopez@cine.com,marcos123,VENDEDOR
U9,Elena,Torres,elena.torres@cine.com,elena123,VENDEDOR
U10,Karina,Morales,Kary@epn.edu.ec,kary123,CLIENTE
U11,Luis,Vuiton,luis@12.com,1234,VENDEDOR
